title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty_rating
Quick Broccoli and Pork Chops Plate,entree,Italian,"['pork chops', 'bread', 'broccoli', 'butter', 'garlic']",5,13,18,4,easy,False,A straightforward italian dish featuring pork chops and broccoli.,1. Chop the broccoli and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Shrimp with Tomatoes and Rice,entree,Mexican,"['shrimp', 'rice', 'tomatoes']",15,22,37,4,medium,False,A straightforward mexican dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Shrimp Rice Bowl,entree,American,"['shrimp', 'rice', 'mushrooms']",7,17,24,4,easy,False,A straightforward american dish featuring shrimp and mushrooms.,1. Chop the mushrooms and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Beef Strips Rice Bowl,entree,Italian,"['beef strips', 'rice', 'cabbage', 'lemon juice']",14,23,37,4,medium,False,A straightforward italian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the rice according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Onion and Chickpeas Plate,entree,Asian,"['chickpeas', 'sweet potatoes', 'onion']",10,21,31,4,medium,True,A straightforward asian dish featuring chickpeas and onion.,1. Chop the onion and prep the chickpeas. 2. Cook the sweet potatoes according to package directions. 3. Sauté the chickpeas and onion until fully cooked. 4. Combine all ingredients together and serve hot.,3
Shrimp with Tomatoes and Rice,entree,Mexican,"['shrimp', 'rice', 'tomatoes', 'hot sauce', 'teriyaki sauce']",9,21,30,4,medium,False,A straightforward mexican dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Shrimp Bread Bowl,entree,Asian,"['shrimp', 'bread', 'bell pepper', 'cheese']",9,19,28,4,easy,False,A straightforward asian dish featuring shrimp and bell pepper.,1. Chop the bell pepper and prep the shrimp. 2. Cook the bread according to package directions. 3. Sauté the shrimp and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Rice Bowl,entree,American,"['salmon', 'rice', 'zucchini', 'soy sauce']",10,10,20,2,easy,False,A straightforward american dish featuring salmon and zucchini.,1. Chop the zucchini and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Cabbage and Tortillas,entree,Italian,"['beef strips', 'tortillas', 'cabbage', 'ginger']",15,15,30,4,medium,False,A straightforward italian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Eggs with Carrots and Tortillas,entree,American,"['eggs', 'tortillas', 'carrots', 'olive oil', 'butter']",10,10,20,4,easy,True,A straightforward american dish featuring eggs and carrots.,1. Chop the carrots and prep the eggs. 2. Cook the tortillas according to package directions. 3. Sauté the eggs and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Broccoli and Tortillas,entree,Mexican,"['lentils', 'tortillas', 'broccoli', 'soy sauce', 'ginger']",7,14,21,2,easy,True,A straightforward mexican dish featuring lentils and broccoli.,1. Chop the broccoli and prep the lentils. 2. Cook the tortillas according to package directions. 3. Sauté the lentils and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Tortillas Bowl,entree,Asian,"['chickpeas', 'tortillas', 'carrots', 'cheese']",8,16,24,4,easy,True,A straightforward asian dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the tortillas according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Sweet Potatoes Bowl,entree,Asian,"['shrimp', 'sweet potatoes', 'peas', 'lemon juice', 'cheese']",7,12,19,4,easy,False,A straightforward asian dish featuring shrimp and peas.,1. Chop the peas and prep the shrimp. 2. Cook the sweet potatoes according to package directions. 3. Sauté the shrimp and peas until fully cooked. 4. Combine all ingredients together and serve hot.,1
Lentils with Onion and Quinoa,entree,Asian,"['lentils', 'quinoa', 'onion']",14,14,28,4,easy,True,A straightforward asian dish featuring lentils and onion.,1. Chop the onion and prep the lentils. 2. Cook the quinoa according to package directions. 3. Sauté the lentils and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Pork Chops Bread Bowl,entree,Mediterranean,"['pork chops', 'bread', 'mushrooms', 'soy sauce']",8,14,22,2,easy,False,A straightforward mediterranean dish featuring pork chops and mushrooms.,1. Chop the mushrooms and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Tortillas Bowl,entree,Mexican,"['shrimp', 'tortillas', 'onion', 'garlic']",12,11,23,4,easy,False,A straightforward mexican dish featuring shrimp and onion.,1. Chop the onion and prep the shrimp. 2. Cook the tortillas according to package directions. 3. Sauté the shrimp and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Shrimp Plate,entree,Asian,"['shrimp', 'tortillas', 'spinach', 'ginger']",12,12,24,4,easy,False,A straightforward asian dish featuring shrimp and spinach.,1. Chop the spinach and prep the shrimp. 2. Cook the tortillas according to package directions. 3. Sauté the shrimp and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Broccoli and Quinoa,entree,American,"['beef strips', 'quinoa', 'broccoli', 'garlic', 'olive oil']",5,15,20,2,easy,False,A straightforward american dish featuring beef strips and broccoli.,1. Chop the broccoli and prep the beef strips. 2. Cook the quinoa according to package directions. 3. Sauté the beef strips and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Pasta Bowl,entree,Asian,"['salmon', 'pasta', 'spinach']",11,14,25,4,easy,False,A straightforward asian dish featuring salmon and spinach.,1. Chop the spinach and prep the salmon. 2. Cook the pasta according to package directions. 3. Sauté the salmon and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Quinoa Bowl,entree,Asian,"['salmon', 'quinoa', 'broccoli', 'lemon juice', 'olive oil']",11,14,25,2,easy,False,A straightforward asian dish featuring salmon and broccoli.,1. Chop the broccoli and prep the salmon. 2. Cook the quinoa according to package directions. 3. Sauté the salmon and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Lentils Plate,entree,Mediterranean,"['lentils', 'tortillas', 'zucchini', 'cheese', 'ginger']",11,20,31,4,medium,True,A straightforward mediterranean dish featuring lentils and zucchini.,1. Chop the zucchini and prep the lentils. 2. Cook the tortillas according to package directions. 3. Sauté the lentils and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Lentils Quinoa Bowl,entree,Asian,"['lentils', 'quinoa', 'peas']",8,13,21,2,easy,True,A straightforward asian dish featuring lentils and peas.,1. Chop the peas and prep the lentils. 2. Cook the quinoa according to package directions. 3. Sauté the lentils and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Tofu Plate,entree,Italian,"['tofu', 'potatoes', 'cabbage', 'cheese', 'ginger']",6,10,16,4,easy,True,A straightforward italian dish featuring tofu and cabbage.,1. Chop the cabbage and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Pork Chops Tortillas Bowl,entree,American,"['pork chops', 'tortillas', 'tomatoes']",8,17,25,4,easy,False,A straightforward american dish featuring pork chops and tomatoes.,1. Chop the tomatoes and prep the pork chops. 2. Cook the tortillas according to package directions. 3. Sauté the pork chops and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Beef Strips Potatoes Bowl,entree,Mediterranean,"['beef strips', 'potatoes', 'onion']",14,11,25,4,easy,False,A straightforward mediterranean dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the potatoes according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Rice Bowl,entree,Mexican,"['shrimp', 'rice', 'tomatoes', 'garlic']",8,21,29,4,easy,False,A straightforward mexican dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Chickpeas Plate,entree,Mediterranean,"['chickpeas', 'potatoes', 'mushrooms', 'cheese']",7,10,17,4,easy,True,A straightforward mediterranean dish featuring chickpeas and mushrooms.,1. Chop the mushrooms and prep the chickpeas. 2. Cook the potatoes according to package directions. 3. Sauté the chickpeas and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Chickpeas Noodles Bowl,entree,Italian,"['chickpeas', 'noodles', 'cabbage']",8,16,24,4,easy,True,A straightforward italian dish featuring chickpeas and cabbage.,1. Chop the cabbage and prep the chickpeas. 2. Cook the noodles according to package directions. 3. Sauté the chickpeas and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Chicken Breast Plate,entree,American,"['chicken breast', 'sweet potatoes', 'zucchini', 'garlic', 'soy sauce']",15,21,36,4,medium,False,A straightforward american dish featuring chicken breast and zucchini.,1. Chop the zucchini and prep the chicken breast. 2. Cook the sweet potatoes according to package directions. 3. Sauté the chicken breast and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Pork Chops Plate,entree,Mexican,"['pork chops', 'pasta', 'cabbage', 'soy sauce']",9,10,19,2,easy,False,A straightforward mexican dish featuring pork chops and cabbage.,1. Chop the cabbage and prep the pork chops. 2. Cook the pasta according to package directions. 3. Sauté the pork chops and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Lentils Quinoa Bowl,entree,American,"['lentils', 'quinoa', 'peas', 'ginger']",15,10,25,4,easy,True,A straightforward american dish featuring lentils and peas.,1. Chop the peas and prep the lentils. 2. Cook the quinoa according to package directions. 3. Sauté the lentils and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Pork Chops with Peas and Pasta,entree,Mexican,"['pork chops', 'pasta', 'peas', 'hot sauce', 'soy sauce']",14,20,34,2,medium,False,A straightforward mexican dish featuring pork chops and peas.,1. Chop the peas and prep the pork chops. 2. Cook the pasta according to package directions. 3. Sauté the pork chops and peas until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Zucchini and Chickpeas Plate,entree,Asian,"['chickpeas', 'tortillas', 'zucchini', 'lemon juice', 'butter']",14,16,30,4,medium,True,A straightforward asian dish featuring chickpeas and zucchini.,1. Chop the zucchini and prep the chickpeas. 2. Cook the tortillas according to package directions. 3. Sauté the chickpeas and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,3
Pork Chops with Peas and Tortillas,entree,Mediterranean,"['pork chops', 'tortillas', 'peas']",8,10,18,4,easy,False,A straightforward mediterranean dish featuring pork chops and peas.,1. Chop the peas and prep the pork chops. 2. Cook the tortillas according to package directions. 3. Sauté the pork chops and peas until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Peas and Chickpeas Plate,entree,American,"['chickpeas', 'bread', 'peas', 'cheese']",11,11,22,2,easy,True,A straightforward american dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Shrimp Plate,entree,Asian,"['shrimp', 'quinoa', 'spinach', 'garlic']",9,24,33,2,medium,False,A straightforward asian dish featuring shrimp and spinach.,1. Chop the spinach and prep the shrimp. 2. Cook the quinoa according to package directions. 3. Sauté the shrimp and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Pork Chops Bread Bowl,entree,Asian,"['pork chops', 'bread', 'cabbage', 'butter']",5,11,16,2,easy,False,A straightforward asian dish featuring pork chops and cabbage.,1. Chop the cabbage and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Zucchini and Beef Strips Plate,entree,Asian,"['beef strips', 'sweet potatoes', 'zucchini']",13,11,24,2,easy,False,A straightforward asian dish featuring beef strips and zucchini.,1. Chop the zucchini and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Pork Chops with Spinach and Bread,entree,Italian,"['pork chops', 'bread', 'spinach']",7,16,23,2,easy,False,A straightforward italian dish featuring pork chops and spinach.,1. Chop the spinach and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Sweet Potatoes Bowl,entree,Italian,"['tofu', 'sweet potatoes', 'spinach', 'olive oil']",10,21,31,2,medium,True,A straightforward italian dish featuring tofu and spinach.,1. Chop the spinach and prep the tofu. 2. Cook the sweet potatoes according to package directions. 3. Sauté the tofu and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Eggs with Spinach and Quinoa,entree,American,"['eggs', 'quinoa', 'spinach', 'soy sauce', 'garlic']",9,10,19,4,easy,True,A straightforward american dish featuring eggs and spinach.,1. Chop the spinach and prep the eggs. 2. Cook the quinoa according to package directions. 3. Sauté the eggs and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,1
Eggs with Carrots and Quinoa,entree,Asian,"['eggs', 'quinoa', 'carrots', 'soy sauce', 'cheese']",15,21,36,4,medium,True,A straightforward asian dish featuring eggs and carrots.,1. Chop the carrots and prep the eggs. 2. Cook the quinoa according to package directions. 3. Sauté the eggs and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Tofu Rice Bowl,entree,Mexican,"['tofu', 'rice', 'broccoli', 'soy sauce']",6,11,17,2,easy,True,A straightforward mexican dish featuring tofu and broccoli.,1. Chop the broccoli and prep the tofu. 2. Cook the rice according to package directions. 3. Sauté the tofu and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Carrots and Black Beans Plate,entree,Asian,"['black beans', 'pasta', 'carrots', 'cheese', 'butter']",11,22,33,2,medium,True,A straightforward asian dish featuring black beans and carrots.,1. Chop the carrots and prep the black beans. 2. Cook the pasta according to package directions. 3. Sauté the black beans and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Tofu Plate,entree,American,"['tofu', 'potatoes', 'mushrooms']",9,10,19,2,easy,True,A straightforward american dish featuring tofu and mushrooms.,1. Chop the mushrooms and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,1
Black Beans with Broccoli and Bread,entree,Mexican,"['black beans', 'bread', 'broccoli']",5,11,16,2,easy,True,A straightforward mexican dish featuring black beans and broccoli.,1. Chop the broccoli and prep the black beans. 2. Cook the bread according to package directions. 3. Sauté the black beans and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Quick Spinach and Pork Chops Plate,entree,Italian,"['pork chops', 'tortillas', 'spinach', 'teriyaki sauce']",9,12,21,4,easy,False,A straightforward italian dish featuring pork chops and spinach.,1. Chop the spinach and prep the pork chops. 2. Cook the tortillas according to package directions. 3. Sauté the pork chops and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Zucchini and Potatoes,entree,Mediterranean,"['lentils', 'potatoes', 'zucchini', 'teriyaki sauce', 'ginger']",8,20,28,4,easy,True,A straightforward mediterranean dish featuring lentils and zucchini.,1. Chop the zucchini and prep the lentils. 2. Cook the potatoes according to package directions. 3. Sauté the lentils and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Black Beans Bread Bowl,entree,Italian,"['black beans', 'bread', 'mushrooms']",6,17,23,2,easy,True,A straightforward italian dish featuring black beans and mushrooms.,1. Chop the mushrooms and prep the black beans. 2. Cook the bread according to package directions. 3. Sauté the black beans and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Bread Bowl,entree,Mediterranean,"['salmon', 'bread', 'mushrooms', 'cheese']",9,25,34,2,medium,False,A straightforward mediterranean dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the bread according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Tofu with Onion and Tortillas,entree,Mediterranean,"['tofu', 'tortillas', 'onion']",11,20,31,2,medium,True,A straightforward mediterranean dish featuring tofu and onion.,1. Chop the onion and prep the tofu. 2. Cook the tortillas according to package directions. 3. Sauté the tofu and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Lentils Potatoes Bowl,entree,Italian,"['lentils', 'potatoes', 'cabbage', 'olive oil']",13,15,28,4,easy,True,A straightforward italian dish featuring lentils and cabbage.,1. Chop the cabbage and prep the lentils. 2. Cook the potatoes according to package directions. 3. Sauté the lentils and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Carrots and Salmon Plate,entree,Italian,"['salmon', 'tortillas', 'carrots', 'teriyaki sauce']",9,25,34,4,medium,False,A straightforward italian dish featuring salmon and carrots.,1. Chop the carrots and prep the salmon. 2. Cook the tortillas according to package directions. 3. Sauté the salmon and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Mushrooms and Eggs Plate,entree,Italian,"['eggs', 'quinoa', 'mushrooms', 'butter', 'hot sauce']",13,24,37,4,medium,True,A straightforward italian dish featuring eggs and mushrooms.,1. Chop the mushrooms and prep the eggs. 2. Cook the quinoa according to package directions. 3. Sauté the eggs and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Mushrooms and Salmon Plate,entree,Italian,"['salmon', 'rice', 'mushrooms', 'soy sauce', 'olive oil']",5,17,22,2,easy,False,A straightforward italian dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Tofu with Peas and Quinoa,entree,Italian,"['tofu', 'quinoa', 'peas']",9,23,32,4,medium,True,A straightforward italian dish featuring tofu and peas.,1. Chop the peas and prep the tofu. 2. Cook the quinoa according to package directions. 3. Sauté the tofu and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Tortillas Bowl,entree,Mediterranean,"['shrimp', 'tortillas', 'bell pepper']",10,18,28,2,easy,False,A straightforward mediterranean dish featuring shrimp and bell pepper.,1. Chop the bell pepper and prep the shrimp. 2. Cook the tortillas according to package directions. 3. Sauté the shrimp and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Carrots and Noodles,entree,Mexican,"['beef strips', 'noodles', 'carrots', 'olive oil']",12,11,23,2,easy,False,A straightforward mexican dish featuring beef strips and carrots.,1. Chop the carrots and prep the beef strips. 2. Cook the noodles according to package directions. 3. Sauté the beef strips and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Bread Bowl,entree,Mexican,"['tofu', 'bread', 'mushrooms', 'teriyaki sauce', 'olive oil']",9,12,21,2,easy,True,A straightforward mexican dish featuring tofu and mushrooms.,1. Chop the mushrooms and prep the tofu. 2. Cook the bread according to package directions. 3. Sauté the tofu and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Rice Bowl,entree,Mexican,"['tofu', 'rice', 'spinach', 'butter']",14,16,30,4,medium,True,A straightforward mexican dish featuring tofu and spinach.,1. Chop the spinach and prep the tofu. 2. Cook the rice according to package directions. 3. Sauté the tofu and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Shrimp Potatoes Bowl,entree,Asian,"['shrimp', 'potatoes', 'peas', 'olive oil']",5,25,30,2,medium,False,A straightforward asian dish featuring shrimp and peas.,1. Chop the peas and prep the shrimp. 2. Cook the potatoes according to package directions. 3. Sauté the shrimp and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Mushrooms and Bread,entree,Italian,"['beef strips', 'bread', 'mushrooms', 'butter', 'ginger']",13,12,25,2,easy,False,A straightforward italian dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Carrots and Beef Strips Plate,entree,Mexican,"['beef strips', 'sweet potatoes', 'carrots']",7,24,31,4,medium,False,A straightforward mexican dish featuring beef strips and carrots.,1. Chop the carrots and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Onion and Sweet Potatoes,entree,Asian,"['beef strips', 'sweet potatoes', 'onion', 'butter', 'olive oil']",14,20,34,4,medium,False,A straightforward asian dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Zucchini and Bread,entree,Italian,"['lentils', 'bread', 'zucchini']",13,20,33,4,medium,True,A straightforward italian dish featuring lentils and zucchini.,1. Chop the zucchini and prep the lentils. 2. Cook the bread according to package directions. 3. Sauté the lentils and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Pasta Bowl,entree,American,"['eggs', 'pasta', 'spinach']",10,13,23,4,easy,True,A straightforward american dish featuring eggs and spinach.,1. Chop the spinach and prep the eggs. 2. Cook the pasta according to package directions. 3. Sauté the eggs and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Tofu Plate,entree,Asian,"['tofu', 'tortillas', 'cabbage', 'olive oil']",14,19,33,4,medium,True,A straightforward asian dish featuring tofu and cabbage.,1. Chop the cabbage and prep the tofu. 2. Cook the tortillas according to package directions. 3. Sauté the tofu and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Carrots and Tortillas,entree,Mediterranean,"['lentils', 'tortillas', 'carrots', 'lemon juice']",11,22,33,4,medium,True,A straightforward mediterranean dish featuring lentils and carrots.,1. Chop the carrots and prep the lentils. 2. Cook the tortillas according to package directions. 3. Sauté the lentils and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Carrots and Rice,entree,Mediterranean,"['shrimp', 'rice', 'carrots', 'butter']",8,13,21,4,easy,False,A straightforward mediterranean dish featuring shrimp and carrots.,1. Chop the carrots and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Bell Pepper and Pork Chops Plate,entree,Asian,"['pork chops', 'tortillas', 'bell pepper']",7,13,20,2,easy,False,A straightforward asian dish featuring pork chops and bell pepper.,1. Chop the bell pepper and prep the pork chops. 2. Cook the tortillas according to package directions. 3. Sauté the pork chops and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Chickpeas Plate,entree,Asian,"['chickpeas', 'sweet potatoes', 'onion']",10,15,25,2,easy,True,A straightforward asian dish featuring chickpeas and onion.,1. Chop the onion and prep the chickpeas. 2. Cook the sweet potatoes according to package directions. 3. Sauté the chickpeas and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chicken Breast Noodles Bowl,entree,American,"['chicken breast', 'noodles', 'peas', 'garlic', 'olive oil']",11,12,23,4,easy,False,A straightforward american dish featuring chicken breast and peas.,1. Chop the peas and prep the chicken breast. 2. Cook the noodles according to package directions. 3. Sauté the chicken breast and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Black Beans Plate,entree,Mexican,"['black beans', 'sweet potatoes', 'mushrooms']",13,24,37,4,medium,True,A straightforward mexican dish featuring black beans and mushrooms.,1. Chop the mushrooms and prep the black beans. 2. Cook the sweet potatoes according to package directions. 3. Sauté the black beans and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Chickpeas Plate,entree,Asian,"['chickpeas', 'quinoa', 'zucchini']",6,23,29,4,easy,True,A straightforward asian dish featuring chickpeas and zucchini.,1. Chop the zucchini and prep the chickpeas. 2. Cook the quinoa according to package directions. 3. Sauté the chickpeas and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Tortillas Bowl,entree,American,"['chickpeas', 'tortillas', 'carrots', 'butter']",15,15,30,2,medium,True,A straightforward american dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the tortillas according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Beef Strips Pasta Bowl,entree,Mexican,"['beef strips', 'pasta', 'cabbage', 'teriyaki sauce']",13,24,37,2,medium,False,A straightforward mexican dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the pasta according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Potatoes Bowl,entree,Italian,"['tofu', 'potatoes', 'zucchini']",12,11,23,4,easy,True,A straightforward italian dish featuring tofu and zucchini.,1. Chop the zucchini and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Eggs Potatoes Bowl,entree,Italian,"['eggs', 'potatoes', 'cabbage']",5,15,20,2,easy,True,A straightforward italian dish featuring eggs and cabbage.,1. Chop the cabbage and prep the eggs. 2. Cook the potatoes according to package directions. 3. Sauté the eggs and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Chicken Breast Plate,entree,American,"['chicken breast', 'bread', 'onion']",15,11,26,4,easy,False,A straightforward american dish featuring chicken breast and onion.,1. Chop the onion and prep the chicken breast. 2. Cook the bread according to package directions. 3. Sauté the chicken breast and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Tomatoes and Pasta,entree,Asian,"['salmon', 'pasta', 'tomatoes']",9,18,27,4,easy,False,A straightforward asian dish featuring salmon and tomatoes.,1. Chop the tomatoes and prep the salmon. 2. Cook the pasta according to package directions. 3. Sauté the salmon and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Black Beans Plate,entree,Asian,"['black beans', 'quinoa', 'zucchini', 'ginger']",5,19,24,4,easy,True,A straightforward asian dish featuring black beans and zucchini.,1. Chop the zucchini and prep the black beans. 2. Cook the quinoa according to package directions. 3. Sauté the black beans and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Carrots and Eggs Plate,entree,American,"['eggs', 'bread', 'carrots']",10,10,20,4,easy,True,A straightforward american dish featuring eggs and carrots.,1. Chop the carrots and prep the eggs. 2. Cook the bread according to package directions. 3. Sauté the eggs and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Bell Pepper and Noodles,entree,Mexican,"['beef strips', 'noodles', 'bell pepper', 'hot sauce', 'garlic']",8,15,23,4,easy,False,A straightforward mexican dish featuring beef strips and bell pepper.,1. Chop the bell pepper and prep the beef strips. 2. Cook the noodles according to package directions. 3. Sauté the beef strips and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
