title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary
Sesame Beef Curry,entree,Asian,"['beef sirloin', 'olive oil', 'sweet potato']",10,20,30,2,medium,False,A quick Asian-inspired entree built around beef with curry.
Soy Glazed Beef Curry,entree,Asian,"['beef sirloin', 'olive oil', 'garlic', 'coconut milk', 'ginger']",10,25,35,2,medium,False,A quick Asian-inspired entree built around beef with curry.
Sweet Chili Beef Curry,entree,Asian,"['beef sirloin', 'olive oil', 'onion', 'garlic', 'coconut milk', 'ginger']",12,23,35,4,medium,False,A takeout-style dinner made at home built around beef with curry.
Teriyaki Beef Curry,entree,Asian,"['beef sirloin', 'olive oil', 'onion', 'garlic', 'coconut milk', 'spinach', 'ginger']",20,10,30,6,medium,False,A takeout-style dinner made at home built around beef with curry.
Scallion Beef Curry,entree,Asian,"['beef sirloin', 'olive oil', 'onion', 'garlic', 'coconut milk', 'cauliflower', 'carrot', 'soy sauce', 'ginger']",12,18,30,6,medium,False,A savory umami-forward main dish built around beef with curry.
Ginger Garlic Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'garlic']",15,15,30,2,easy,False,A quick Asian-inspired entree built around beef with stir-fry.
Sesame Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'onion', 'garlic']",10,20,30,4,easy,False,A quick Asian-inspired entree built around beef with stir-fry.
Soy Glazed Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'onion', 'soy sauce', 'garlic']",12,10,22,2,easy,False,A savory umami-forward main dish built around beef with stir-fry.
Sweet Chili Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'bell pepper', 'onion', 'eggplant', 'garlic']",18,10,28,4,easy,False,A savory umami-forward main dish built around beef with stir-fry.
Teriyaki Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'bell pepper', 'onion', 'corn', 'green onion', 'garlic']",10,10,20,6,easy,False,A savory umami-forward main dish built around beef with stir-fry.
Scallion Beef Stir-Fry,entree,Asian,"['beef sirloin', 'olive oil', 'bell pepper', 'onion', 'zucchini', 'ginger', 'rice vinegar', 'garlic']",10,15,25,2,easy,False,A takeout-style dinner made at home built around beef with stir-fry.
Herb Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'flour tortillas', 'eggplant', 'tomato', 'rosemary', 'paprika', 'lime', 'cilantro']",10,10,20,6,easy,False,A hearty and simple main dish built around beef with wrap.
Garlic Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'flour tortillas', 'spinach', 'tomato', 'onion', 'thyme', 'garlic powder', 'lime', 'cilantro']",15,10,25,4,easy,False,A comfort-food style dinner built around beef with wrap.
Smoky Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'lime', 'cilantro']",18,10,28,4,easy,False,A hearty and simple main dish built around beef with wrap.
Lemon Pepper Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'thyme', 'lime', 'cilantro']",15,10,25,4,easy,False,A hearty and simple main dish built around beef with wrap.
Roasted Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'sweet potato', 'thyme', 'lime', 'cilantro']",20,10,30,2,easy,False,A comfort-food style dinner built around beef with wrap.
Homestyle Beef Wrap,entree,American,"['beef sirloin', 'olive oil', 'flour tortillas', 'garlic powder', 'thyme', 'lime', 'cilantro']",12,10,22,6,easy,False,A hearty and simple main dish built around beef with wrap.
Chipotle Beef Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'flour tortillas', 'spinach', 'tomato', 'onion', 'lime', 'cilantro']",10,10,20,4,easy,False,A family-friendly taco night style meal built around beef with wrap.
Cilantro Lime Beef Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'cilantro']",20,10,30,4,easy,False,A Mexican-inspired entree with bright flavors built around beef with wrap.
Spicy Beef Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'flour tortillas', 'lime', 'cilantro']",12,13,25,6,easy,False,A family-friendly taco night style meal built around beef with wrap.
Smoky Beef Onion Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'flour tortillas', 'onion', 'lime', 'cilantro']",20,10,30,6,easy,False,A bold and zesty main dish built around beef with wrap.
Salsa Verde Beef Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'flour tortillas', 'kale', 'white beans', 'lime', 'cilantro']",12,10,22,6,easy,False,A family-friendly taco night style meal built around beef with wrap.
Southwest Beef Wrap,entree,Mexican,"['beef sirloin', 'olive oil', 'flour tortillas', 'eggplant', 'tomato', 'zucchini', 'corn', 'lime', 'cilantro']",12,10,22,6,easy,False,A bold and zesty main dish built around beef with wrap.
Lemon Herb Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'cilantro']",10,10,20,4,easy,False,A bright Mediterranean-style entree built around beef with wrap.
Mediterranean Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'lime', 'cilantro']",15,10,25,2,easy,False,A fresh and herb-forward main dish built around beef with wrap.
Garlic Oregano Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'lemon', 'lime', 'cilantro']",18,10,28,4,easy,False,A light but satisfying dinner built around beef with wrap.
Tomato Olive Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'flour tortillas', 'lemon', 'lime', 'cilantro']",10,15,25,6,easy,False,A light but satisfying dinner built around beef with wrap.
Zesty Herb Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'flour tortillas', 'onion', 'lemon', 'lime', 'cilantro']",10,15,25,6,easy,False,A light but satisfying dinner built around beef with wrap.
Sun-Dried Tomato Beef Wrap,entree,Mediterranean,"['beef sirloin', 'olive oil', 'flour tortillas', 'spinach', 'tomato', 'onion', 'lime', 'cilantro']",18,10,28,2,easy,False,A light but satisfying dinner built around beef with wrap.
Herb Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'salt', 'black pepper', 'quinoa', 'eggplant', 'tomato', 'paprika', 'garlic']",10,25,35,2,easy,False,A savory weeknight entree built around beef with grain bowl.
Garlic Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'salt', 'black pepper', 'quinoa', 'broccoli', 'carrot', 'garlic powder', 'paprika', 'garlic']",10,15,25,4,easy,False,A savory weeknight entree built around beef with grain bowl.
Smoky Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'quinoa', 'garlic']",12,23,35,6,easy,False,A comfort-food style dinner built around beef with grain bowl.
Lemon Pepper Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'quinoa', 'thyme', 'garlic']",12,10,22,4,easy,False,A comfort-food style dinner built around beef with grain bowl.
Roasted Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'quinoa', 'parsley', 'rosemary', 'garlic']",18,12,30,2,easy,False,A comfort-food style dinner built around beef with grain bowl.
Homestyle Beef Grain Bowl,entree,American,"['beef sirloin', 'olive oil', 'quinoa', 'onion', 'bell pepper', 'garlic powder', 'garlic']",10,10,20,4,easy,False,A hearty and simple main dish built around beef with grain bowl.
Lemon Herb Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa', 'cauliflower', 'carrot', 'peas', 'parsley', 'garlic']",12,23,35,6,easy,False,A bright Mediterranean-style entree built around beef with grain bowl.
Mediterranean Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa']",18,17,35,6,easy,False,A bright Mediterranean-style entree built around beef with grain bowl.
Garlic Oregano Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa', 'lemon', 'garlic']",15,10,25,6,easy,False,A fresh and herb-forward main dish built around beef with grain bowl.
Tomato Olive Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa', 'eggplant', 'tomato', 'garlic']",18,12,30,6,easy,False,A fresh and herb-forward main dish built around beef with grain bowl.
Zesty Herb Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa', 'cauliflower', 'feta', 'lemon', 'garlic']",20,10,30,6,easy,False,A light but satisfying dinner built around beef with grain bowl.
Sun-Dried Tomato Beef Grain Bowl,entree,Mediterranean,"['beef sirloin', 'olive oil', 'quinoa', 'onion', 'bell pepper', 'zucchini', 'tomato', 'oregano', 'garlic']",20,10,30,6,easy,False,A fresh and herb-forward main dish built around beef with grain bowl.
Herb Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth']",18,27,45,4,medium,False,A hearty and simple main dish built around beef with stew.
Garlic Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth', 'garlic']",15,40,55,2,medium,False,A comfort-food style dinner built around beef with stew.
Smoky Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth', 'paprika', 'garlic']",20,25,45,4,medium,False,A comfort-food style dinner built around beef with stew.
Lemon Pepper Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth', 'thyme', 'butter', 'garlic']",10,45,55,4,medium,False,A savory weeknight entree built around beef with stew.
Roasted Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth', 'onion', 'thyme', 'butter', 'garlic']",10,45,55,4,medium,False,A comfort-food style dinner built around beef with stew.
Homestyle Beef Stew,entree,American,"['beef sirloin', 'olive oil', 'broth', 'carrot', 'onion', 'thyme', 'butter', 'garlic']",10,45,55,4,medium,False,A comfort-food style dinner built around beef with stew.
Lemon Herb Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'carrot', 'celery', 'broccoli', 'snap peas', 'parsley', 'garlic']",15,25,40,2,medium,False,A fresh and herb-forward main dish built around beef with stew.
Mediterranean Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'carrot', 'celery', 'kale', 'white beans', 'parsley', 'feta', 'garlic']",20,30,50,4,medium,False,A light but satisfying dinner built around beef with stew.
Garlic Oregano Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'garlic']",12,33,45,2,medium,False,A bright Mediterranean-style entree built around beef with stew.
Tomato Olive Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'parsley', 'garlic']",20,30,50,4,medium,False,A light but satisfying dinner built around beef with stew.
Zesty Herb Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'oregano', 'lemon', 'garlic']",18,32,50,2,medium,False,A fresh and herb-forward main dish built around beef with stew.
Sun-Dried Tomato Beef Stew,entree,Mediterranean,"['beef sirloin', 'olive oil', 'broth', 'carrot', 'celery', 'lemon', 'garlic']",12,38,50,6,medium,False,A bright Mediterranean-style entree built around beef with stew.
Herb Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice', 'sweet potato', 'onion', 'thyme', 'butter', 'garlic']",20,10,30,2,easy,False,A savory weeknight entree built around turkey with rice bowl.
Garlic Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice']",20,10,30,4,easy,False,A hearty and simple main dish built around turkey with rice bowl.
Smoky Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice', 'rosemary', 'garlic']",20,10,30,4,easy,False,A savory weeknight entree built around turkey with rice bowl.
Lemon Pepper Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice', 'onion', 'paprika', 'garlic']",18,10,28,2,easy,False,A savory weeknight entree built around turkey with rice bowl.
Roasted Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice', 'onion', 'butter', 'thyme', 'garlic']",18,12,30,2,easy,False,A comfort-food style dinner built around turkey with rice bowl.
Homestyle Turkey Rice Bowl,entree,American,"['ground turkey', 'olive oil', 'rice', 'corn', 'bell pepper', 'onion', 'garlic powder', 'parsley', 'garlic']",10,15,25,4,easy,False,A comfort-food style dinner built around turkey with rice bowl.
Chipotle Turkey Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice']",20,10,30,2,easy,False,A Mexican-inspired entree with bright flavors built around turkey with rice bowl.
Cilantro Lime Turkey Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice', 'garlic']",12,10,22,2,easy,False,A Mexican-inspired entree with bright flavors built around turkey with rice bowl.
Spicy Turkey Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice', 'lime', 'garlic']",10,10,20,4,easy,False,A family-friendly taco night style meal built around turkey with rice bowl.
Smoky Turkey Eggplant Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice', 'eggplant', 'lime', 'garlic']",12,13,25,2,easy,False,A bold and zesty main dish built around turkey with rice bowl.
Salsa Verde Turkey Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice', 'cauliflower', 'carrot', 'peas', 'garlic']",18,10,28,4,easy,False,A Mexican-inspired entree with bright flavors built around turkey with rice bowl.
Southwest Turkey Rice Bowl,entree,Mexican,"['ground turkey', 'olive oil', 'rice', 'sweet potato', 'onion', 'cumin', 'chili powder', 'garlic']",10,15,25,4,easy,False,A Mexican-inspired entree with bright flavors built around turkey with rice bowl.
Lemon Herb Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'rice', 'spinach', 'tomato', 'onion', 'olives', 'oregano', 'garlic']",12,10,22,4,easy,False,A light but satisfying dinner built around turkey with rice bowl.
Mediterranean Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'rice', 'mushrooms', 'onion', 'peas', 'lemon', 'garlic']",12,10,22,2,easy,False,A light but satisfying dinner built around turkey with rice bowl.
Garlic Oregano Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'rice', 'garlic']",18,10,28,4,easy,False,A bright Mediterranean-style entree built around turkey with rice bowl.
Tomato Olive Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'rice', 'feta', 'garlic']",15,10,25,4,easy,False,A bright Mediterranean-style entree built around turkey with rice bowl.
Zesty Herb Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'rice', 'oregano', 'feta', 'garlic']",12,10,22,2,easy,False,A light but satisfying dinner built around turkey with rice bowl.
Sun-Dried Tomato Turkey Rice Bowl,entree,Mediterranean,"['ground turkey', 'olive oil', 'rice', 'eggplant', 'parsley', 'oregano', 'garlic']",18,10,28,4,easy,False,A fresh and herb-forward main dish built around turkey with rice bowl.
Ginger Garlic Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice', 'corn', 'bell pepper', 'onion', 'soy sauce', 'garlic']",10,15,25,6,easy,False,A savory umami-forward main dish built around turkey with rice bowl.
Sesame Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice']",15,15,30,2,easy,False,A savory umami-forward main dish built around turkey with rice bowl.
Soy Glazed Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice', 'ginger', 'garlic']",12,10,22,6,easy,False,A takeout-style dinner made at home built around turkey with rice bowl.
Sweet Chili Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice', 'mushrooms', 'onion', 'garlic']",15,10,25,4,easy,False,A quick Asian-inspired entree built around turkey with rice bowl.
Teriyaki Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice', 'sweet potato', 'onion', 'black beans', 'garlic']",12,10,22,2,easy,False,A savory umami-forward main dish built around turkey with rice bowl.
Scallion Turkey Rice Bowl,entree,Asian,"['ground turkey', 'olive oil', 'rice', 'cauliflower', 'carrot', 'peas', 'green onion', 'soy sauce', 'garlic']",10,15,25,2,easy,False,A takeout-style dinner made at home built around turkey with rice bowl.
Herb Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta']",15,10,25,4,easy,False,A savory weeknight entree built around turkey with pasta.
Garlic Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta', 'parmesan']",15,20,35,2,easy,False,A hearty and simple main dish built around turkey with pasta.
Smoky Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta', 'garlic', 'parmesan']",12,13,25,2,easy,False,A comfort-food style dinner built around turkey with pasta.
Lemon Pepper Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta', 'paprika', 'garlic', 'parmesan']",12,10,22,2,easy,False,A comfort-food style dinner built around turkey with pasta.
Roasted Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta', 'thyme', 'paprika', 'garlic', 'parmesan']",12,13,25,6,easy,False,A comfort-food style dinner built around turkey with pasta.
Homestyle Turkey Pasta,entree,American,"['ground turkey', 'olive oil', 'pasta', 'onion', 'butter', 'thyme', 'garlic', 'parmesan']",12,10,22,2,easy,False,A comfort-food style dinner built around turkey with pasta.
Lemon Herb Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'pasta', 'cabbage', 'carrot', 'green onion', 'olives', 'garlic', 'parmesan']",10,20,30,4,easy,False,A fresh and herb-forward main dish built around turkey with pasta.
Mediterranean Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'pasta', 'eggplant', 'tomato', 'lemon', 'garlic', 'parmesan']",18,17,35,2,easy,False,A light but satisfying dinner built around turkey with pasta.
Garlic Oregano Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'pasta', 'parmesan']",20,10,30,2,easy,False,A bright Mediterranean-style entree built around turkey with pasta.
Tomato Olive Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'pasta', 'garlic', 'parmesan']",10,20,30,6,easy,False,A fresh and herb-forward main dish built around turkey with pasta.
Zesty Herb Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'pasta', 'lemon', 'garlic', 'parmesan']",15,10,25,4,easy,False,A light but satisfying dinner built around turkey with pasta.
Sun-Dried Tomato Turkey Pasta,entree,Mediterranean,"['ground turkey', 'olive oil', 'pasta', 'onion', 'parsley', 'garlic', 'parmesan']",10,20,30,2,easy,False,A light but satisfying dinner built around turkey with pasta.
Herb Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'corn tortillas', 'eggplant', 'rosemary', 'butter', 'lime', 'cilantro']",10,10,20,2,easy,False,A savory weeknight entree built around turkey with tacos.
Garlic Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'cilantro']",12,10,22,2,easy,False,A hearty and simple main dish built around turkey with tacos.
Smoky Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'garlic powder', 'lime', 'cilantro']",10,10,20,6,easy,False,A comfort-food style dinner built around turkey with tacos.
Lemon Pepper Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'thyme', 'garlic powder', 'lime', 'cilantro']",20,10,30,6,easy,False,A savory weeknight entree built around turkey with tacos.
Roasted Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'corn tortillas', 'garlic powder', 'thyme', 'lime', 'cilantro']",10,10,20,2,easy,False,A hearty and simple main dish built around turkey with tacos.
Homestyle Turkey Tacos,entree,American,"['ground turkey', 'olive oil', 'corn tortillas', 'broccoli', 'carrot', 'snap peas', 'rosemary', 'lime', 'cilantro']",20,10,30,2,easy,False,A savory weeknight entree built around turkey with tacos.
Chipotle Turkey Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'lime']",20,10,30,2,easy,False,A bold and zesty main dish built around turkey with tacos.
Cilantro Lime Turkey Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'lime', 'cilantro']",18,10,28,2,easy,False,A family-friendly taco night style meal built around turkey with tacos.
Spicy Turkey Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'chili powder', 'lime', 'cilantro']",20,10,30,4,easy,False,A bold and zesty main dish built around turkey with tacos.
Smoky Turkey Sweet Potato Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'sweet potato', 'chili powder', 'lime', 'cilantro']",12,13,25,6,easy,False,A Mexican-inspired entree with bright flavors built around turkey with tacos.
Salsa Verde Turkey Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'corn tortillas', 'kale', 'cumin', 'lime', 'cilantro']",18,10,28,4,easy,False,A family-friendly taco night style meal built around turkey with tacos.
Southwest Turkey Tacos,entree,Mexican,"['ground turkey', 'olive oil', 'corn tortillas', 'spinach', 'onion', 'cumin', 'lime', 'cilantro']",12,18,30,6,easy,False,A family-friendly taco night style meal built around turkey with tacos.
Herb Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'onion', 'bell pepper', 'thyme', 'garlic powder']",20,10,30,2,easy,False,A hearty and simple main dish built around turkey with salad.
Garlic Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'corn', 'bell pepper', 'onion', 'paprika', 'butter']",10,10,20,2,easy,False,A hearty and simple main dish built around turkey with salad.
Smoky Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'rosemary', 'parsley']",10,10,20,2,easy,False,A comfort-food style dinner built around turkey with salad.
Lemon Pepper Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'mixed greens', 'thyme', 'parsley']",20,10,30,6,easy,False,A comfort-food style dinner built around turkey with salad.
Roasted Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'mixed greens', 'onion', 'butter', 'garlic powder']",15,10,25,6,easy,False,A savory weeknight entree built around turkey with salad.
Homestyle Turkey Salad,entree,American,"['ground turkey', 'olive oil', 'mixed greens', 'corn', 'onion', 'paprika', 'garlic powder']",15,10,25,4,easy,False,A hearty and simple main dish built around turkey with salad.
Lemon Herb Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'spinach', 'onion', 'lemon']",20,10,30,2,easy,False,A fresh and herb-forward main dish built around turkey with salad.
Mediterranean Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'oregano']",18,10,28,6,easy,False,A bright Mediterranean-style entree built around turkey with salad.
Garlic Oregano Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'mixed greens', 'cauliflower', 'parsley']",15,10,25,2,easy,False,A light but satisfying dinner built around turkey with salad.
Tomato Olive Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'mixed greens', 'broccoli', 'carrot', 'parsley']",15,10,25,6,easy,False,A light but satisfying dinner built around turkey with salad.
Zesty Herb Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'mixed greens', 'kale', 'white beans', 'tomato', 'oregano']",18,10,28,6,easy,False,A light but satisfying dinner built around turkey with salad.
Sun-Dried Tomato Turkey Salad,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'mixed greens', 'sweet potato', 'onion', 'black beans', 'parsley']",15,10,25,4,easy,False,A fresh and herb-forward main dish built around turkey with salad.
Herb Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth']",12,23,35,6,medium,False,A comfort-food style dinner built around turkey with soup.
Garlic Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth', 'garlic']",10,30,40,2,medium,False,A savory weeknight entree built around turkey with soup.
Smoky Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth', 'thyme', 'garlic']",18,22,40,4,medium,False,A savory weeknight entree built around turkey with soup.
Lemon Pepper Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth', 'cauliflower', 'garlic powder', 'garlic']",12,18,30,6,medium,False,A hearty and simple main dish built around turkey with soup.
Roasted Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth', 'eggplant', 'parsley', 'garlic powder', 'garlic']",20,25,45,4,medium,False,A hearty and simple main dish built around turkey with soup.
Homestyle Turkey Soup,entree,American,"['ground turkey', 'olive oil', 'broth', 'broccoli', 'carrot', 'butter', 'paprika', 'garlic']",12,33,45,4,medium,False,A comfort-food style dinner built around turkey with soup.
Lemon Herb Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'broth', 'sweet potato', 'onion', 'black beans', 'oregano', 'cucumber', 'garlic']",12,28,40,6,medium,False,A bright Mediterranean-style entree built around turkey with soup.
Mediterranean Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'broth', 'eggplant', 'tomato', 'zucchini', 'feta', 'garlic']",12,33,45,2,medium,False,A bright Mediterranean-style entree built around turkey with soup.
Garlic Oregano Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'broth', 'garlic']",20,10,30,4,medium,False,A fresh and herb-forward main dish built around turkey with soup.
Tomato Olive Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'broth', 'oregano', 'garlic']",15,15,30,4,medium,False,A fresh and herb-forward main dish built around turkey with soup.
Zesty Herb Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'broth', 'eggplant', 'feta', 'garlic']",15,25,40,4,medium,False,A fresh and herb-forward main dish built around turkey with soup.
Sun-Dried Tomato Turkey Soup,entree,Mediterranean,"['ground turkey', 'olive oil', 'broth', 'cabbage', 'carrot', 'parsley', 'garlic']",18,22,40,2,medium,False,A light but satisfying dinner built around turkey with soup.
Ginger Garlic Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth', 'eggplant', 'tomato', 'zucchini', 'green onion', 'garlic']",15,20,35,6,medium,False,A savory umami-forward main dish built around turkey with soup.
Sesame Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth']",18,17,35,2,medium,False,A savory umami-forward main dish built around turkey with soup.
Soy Glazed Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth', 'onion', 'garlic']",12,28,40,2,medium,False,A savory umami-forward main dish built around turkey with soup.
Sweet Chili Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth', 'onion', 'ginger', 'garlic']",15,30,45,4,medium,False,A takeout-style dinner made at home built around turkey with soup.
Teriyaki Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth', 'cauliflower', 'carrot', 'peas', 'garlic']",18,27,45,4,medium,False,A savory umami-forward main dish built around turkey with soup.
Scallion Turkey Soup,entree,Asian,"['ground turkey', 'olive oil', 'broth', 'sweet potato', 'onion', 'black beans', 'ginger', 'rice vinegar', 'garlic']",15,30,45,2,medium,False,A takeout-style dinner made at home built around turkey with soup.
Herb Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'paprika']",10,35,45,4,easy,False,A comfort-food style dinner built around turkey with sheet pan dinner.
Garlic Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'parsley', 'butter']",20,15,35,2,easy,False,A hearty and simple main dish built around turkey with sheet pan dinner.
Smoky Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'onion', 'bell pepper', 'rosemary']",20,20,40,6,easy,False,A comfort-food style dinner built around turkey with sheet pan dinner.
Lemon Pepper Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'onion', 'bell pepper', 'paprika', 'thyme']",15,25,40,2,easy,False,A hearty and simple main dish built around turkey with sheet pan dinner.
Roasted Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'onion', 'bell pepper', 'cabbage', 'paprika', 'garlic powder']",15,25,40,6,easy,False,A hearty and simple main dish built around turkey with sheet pan dinner.
Homestyle Turkey Sheet Pan Dinner,entree,American,"['ground turkey', 'olive oil', 'onion', 'bell pepper', 'spinach', 'tomato', 'butter', 'thyme']",20,15,35,6,easy,False,A savory weeknight entree built around turkey with sheet pan dinner.
Lemon Herb Turkey Sheet Pan Dinner,entree,Mediterranean,"['ground turkey', 'olive oil', 'salt', 'black pepper', 'onion', 'bell pepper', 'corn', 'oregano', 'lemon']",20,10,30,4,easy,False,A light but satisfying dinner built around turkey with sheet pan dinner.
